      lxc-start 20180309155721.641 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.641 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.642 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.643 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.644 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.645 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.645 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.645 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.645 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.645 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.645 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.645 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.645 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.645 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.645 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.645 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155721.645 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155758.250 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155758.250 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155758.250 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155758.250 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155758.250 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155758.250 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155758.257 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155758.257 DEBUG    lxc_commands - commands.c:lxc_cmd_handler:893 - Peer has disconnected.
      lxc-start 20180309155800.598 DEBUG    lxc_start - start.c:signal_handler:326 - Container init process 30926 exited.
      lxc-start 20180309155800.598 DEBUG    lxc_start - start.c:__lxc_start:1372 - Container "ubuntu2" is halting.
      lxc-start 20180309155800.598 DEBUG    lxc_start - start.c:__lxc_start:1387 - Pushing physical nics back to host namespace
      lxc-start 20180309155800.598 DEBUG    lxc_start - start.c:__lxc_start:1390 - Tearing down virtual network devices used by container "ubuntu2".
      lxc-start 20180309155800.598 WARN     lxc_conf - conf.c:lxc_delete_network:3028 - Failed to remove interface "vethVDOIRE" from host: Operation not permitted.
      lxc-start 20180309155800.598 WARN     lxc_conf - conf.c:lxc_delete_network:3028 - Failed to remove interface "veth9FP4A1" from host: Operation not permitted.
      lxc-start 20180309155800.598 INFO     lxc_error - error.c:lxc_error_set_and_log:54 - Child <30926> ended on signal (2).
      lxc-start 20180309155800.644 INFO     lxc_conf - conf.c:run_script_argv:424 - Executing script "/usr/share/lxcfs/lxc.reboot.hook" for container "ubuntu2", config section "lxc".
